text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"rotator cuff tear, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
bipolar disorder,8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
coronary artery disease (CAD or arteriosclerotic heart disease),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"diabetes, type 1 or type 2",8973,Endocrine,8973,Endocrine,True
prostate cancer,8935,Cancer - Genitourinary,8935,Cancer - Genitourinary,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"knee strain or sprain, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"foot fracture (tarsal or metatarsal fracture), right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"degenerative arthritis (osteoarthritis) in hip, left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
thyroid cancer,8933,Cancer - Endocrine,8933,Cancer - Endocrine,True
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"claw foot (pes cavus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
athlete's foot (tinea pedis),9016,Skin,9016,Skin,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee instability, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
iron deficiency anemia,8981,Hemic and Lymphatic,8981,Hemic and Lymphatic,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"hallux rigidus (big toe arthritis), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
epididymitis,8975,Genitourinary,8975,Genitourinary,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"metatarsalgia (pain in ball of foot), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
asthma,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
knee degenerative arthritis osteoarthritis knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"hip sprain, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
stomach,8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
fecal incontinence (loss of bowel control),8968,Digestive,8968,Digestive,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"kidney cancer (renal cancer), left",8935,Cancer - Genitourinary,8935,Cancer - Genitourinary,True
lung cancer,1230,Cancer - Respiratory,1230,Cancer - Respiratory,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
asthma,9012,Respiratory,9012,Respiratory,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
EPILEPSY,9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
congestive heart failure (CHF),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
bipolar disorder,8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression,8989,Mental Disorders,8989,Mental Disorders,True
"glaucoma, left",8974,Eye (Vision),8974,Eye (Vision),True
Leg Condition - Heart/Veins/Arteries,8987,Leg Condition - Heart/Veins/Arteries,8987,Leg Condition - Heart/Veins/Arteries,True
anxiety condition,8989,Mental Disorders,8989,Mental Disorders,True
"shoulder condition, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"hip condition, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
irritable bowel syndrome ibs,8968,Digestive,8968,Digestive,True
migraines headaches,9007,Neurological other System,9007,Neurological other System,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"radiculopathy, right lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
irritable bowel syndrome ibs,8968,Digestive,8968,Digestive,True
migraines headaches,9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"hallux rigidus (big toe arthritis), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
iron deficiency anemia,8981,Hemic and Lymphatic,8981,Hemic and Lymphatic,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
epididymitis,8975,Genitourinary,8975,Genitourinary,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
asthma,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
knee degenerative arthritis osteoarthritis knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
bipolar disorder,8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
bipolar disorder,8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
diabetes type,8973,Endocrine,8973,Endocrine,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
iron deficiency anemia,8981,Hemic and Lymphatic,8981,Hemic and Lymphatic,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"hallux rigidus (big toe arthritis), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
bipolar disorder,8989,Mental Disorders,8989,Mental Disorders,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
epididymitis,8975,Genitourinary,8975,Genitourinary,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
bipolar disorder,8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
asthma,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
knee degenerative arthritis osteoarthritis knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"hallux rigidus (big toe arthritis), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"ankle sprain, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"rotator cuff tear, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
iron deficiency anemia,8981,Hemic and Lymphatic,8981,Hemic and Lymphatic,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
congestive heart failure (CHF),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"hallux rigidus (big toe arthritis), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
iron deficiency anemia,8981,Hemic and Lymphatic,8981,Hemic and Lymphatic,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
epididymitis,8975,Genitourinary,8975,Genitourinary,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
asthma,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
knee degenerative arthritis osteoarthritis knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"hallux rigidus (big toe arthritis), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
iron deficiency anemia,8981,Hemic and Lymphatic,8981,Hemic and Lymphatic,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
chronic bronchitis,9012,Respiratory,9012,Respiratory,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
epididymitis,8975,Genitourinary,8975,Genitourinary,True
"carpal tunnel syndrome, bilateral",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
irritable bowel syndrome ibs,8968,Digestive,8968,Digestive,True
migraines headaches,9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"ankylosis in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
asthma,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
