# rows of data: 5000,  
# @contention_text,@classification_code
sleep apnea,9012
hearing loss,3140
irritable bowel syndrome (IBS),8968
hemorrhoids,8968
sleep apnea,9012
generalized anxiety disorder (GAD),8989
neck strain (cervical strain),8999
unmapped contention text ['foot'],8994
unmapped contention text ['hand'],8995
"wrist sprain, left",9004
"knee instability, bilateral",8997
middle back sprain (thoracic sprain),8998
lower back sprain (lumbosacral sprain),8998
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
unmapped contention text ['tinnitus ringing hissing ears'],3140
unmapped contention text ['hearing loss'],3140
chronic bronchitis,9012
"knee instability, left",8997
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
neck strain (cervical strain),8999
sleep apnea,9012
"degenerative arthritis (osteoarthritis) in ankle, left",8991
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
"trigger finger, left",8995
eczema (atopic dermatitis),9016
enlarged prostate (benign prostatic hyperplasia or BPH),8975
"intervertebral disc syndrome (IVDS), back",8998
"plantar fasciitis, bilateral",8994
unmapped contention text ['elbow'],8993
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
chronic sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
depression (major depressive disorder),8989
depression,8989
"glaucoma, left",8974
Leg Condition - Heart/Veins/Arteries,8987
anxiety condition,8989
"shoulder condition, bilateral",9002
"hip condition, bilateral",8996
hypertension,8979
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
"degenerative arthritis (osteoarthritis) in knee, right",8997
"degenerative arthritis (osteoarthritis) in foot, left",8994
"spinal arthritis, back",8998
lower back sprain (lumbosacral sprain),8998
unmapped contention text ['neck'],8999
"hip sprain, left",8996
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
hyperthyroidism (overactive thyroid),8973
hearing loss,3140
Tinnitus,3140
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
tinnitus (ringing or hissing in ears),3140
"ankle sprain, left",8991
middle back strain (thoracic strain),8998
"rotator cuff tear, right",9002
lower back strain (lumbosacral strain),8998
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['knee'],8997
hearing loss,3140
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
tinnitus (ringing or hissing in ears),3140
chronic bronchitis,9012
"chronic rhinitis, allergic or non-allergic",9012
sleep apnea,9012
chronic sinusitis,9012
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
"ankylosis in ankle, bilateral",8991
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
neck strain (cervical strain),8999
"knee strain or sprain, left",8997
PTSD (post-traumatic stress disorder),8989
acne,9016
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
"tendonitis (tendinitis) in ankle, bilateral",8991
"flatfoot (pes planus), bilateral",8994
GERD (gastroesophageal reflux disease),8968
"shin splints, bilateral",8997
middle back sprain (thoracic sprain),8998
"ankle sprain, left",8991
unmapped contention text ['ankle strain'],8991
unmapped contention text ['shoulder strain'],9002
eczema (atopic dermatitis),9016
irritable bowel syndrome (IBS),8968
unmapped contention text ['elbow strain'],8993
unmapped contention text ['elbow strain'],8993
"wrist sprain, right",9004
"wrist sprain, left",9004
"shoulder strain, left",9002
middle back strain (thoracic strain),8998
neck strain (cervical strain),8999
"deep vein thrombosis (DVT) in leg, left",8987
erectile dysfunction (ED),8975
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
heart attack (myocardial infarction),8971
"knee strain or sprain, right",8997
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
Depression,8989
unmapped contention text ['anxiety'],8989
unmapped contention text ['neck'],8999
"hearing loss, other than tinnitus",3140
"chronic rhinitis, allergic or non-allergic",9012
asthma,9012
hypertension (high blood pressure),8979
"chronic rhinitis, allergic or non-allergic",9012
migraines (headaches),9007
chronic sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
congestive heart failure (CHF),8979
Migraines,9007
"greater trochanteric pain syndrome (lateral hip pain), left",8996
"degenerative arthritis (osteoarthritis) in hip, left",8996
"hip sprain, left",8996
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
migraines,9007
unmapped contention text ['ankle'],8991
unmapped contention text ['neck'],8999
depression,8989
unmapped contention text ['anxiety'],8989
unmapped contention text ['shoulder'],9002
unmapped contention text ['knee'],8997
asthma,9012
migraines (headaches),9007
unmapped contention text ['female sexual arousal disorder fsad'],8978
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
"radiculopathy, right lower extremities",8998
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
"visual impairment, including blurry vision, blindness and double vision",8974
GERD (gastroesophageal reflux disease),8968
"temporomandibular disorder, including TMJ",249481
hyperhidrosis (excessive sweating),9016
irritable bowel syndrome (IBS),8968
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"flatfoot (pes planus), bilateral",8994
lower back strain (lumbosacral strain),8998
middle back strain (thoracic strain),8998
neck strain (cervical strain),8999
generalized anxiety disorder (GAD),8989
"metatarsalgia (pain in ball of foot), bilateral",8994
"visual impairment, including blurry vision, blindness and double vision",8974
chronic fatigue syndrome,8986
"knee strain or sprain, bilateral",8997
migraines (headaches),9007
"chronic rhinitis, allergic or non-allergic",9012
unmapped contention text ['diabetes type'],8973
PTSD (post-traumatic stress disorder),8989
"ankylosis in knee, bilateral",8997
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
irritable bowel syndrome (IBS),8968
hypertension (high blood pressure),8979
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
"scars, head, face or neck",9014
migraines (headaches),9007
"rotator cuff tear, left",9002
hearing loss,3140
unmapped contention text ['tinnitus'],3140
GERD (gastroesophageal reflux disease),8968
bipolar disorder,8989
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
unmapped contention text ['knee'],8997
coronary artery disease (CAD or arteriosclerotic heart disease),8979
"diabetic peripheral neuropathy, bilateral lower extremities",9006
"diabetes, type 1 or type 2",8973
prostate cancer,8935
hypertension (high blood pressure),8979
hearing loss,3140
"radiculopathy, bilateral lower extremities",8998
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
depression (major depressive disorder),8989
migraines (headaches),9007
"foot fracture (tarsal or metatarsal fracture), right",8994
"degenerative arthritis (osteoarthritis) in hip, left",8996
"visual impairment, including blurry vision, blindness and double vision",8974
tinnitus (ringing or hissing in ears),3140
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
Migraines,9007
Tinnitus,3140
PTSD (post-traumatic stress disorder),8989
thyroid cancer,8933
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"claw foot (pes cavus), bilateral",8994
athlete's foot (tinea pedis),9016
erectile dysfunction (ED),8975
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"knee instability, left",8997
"knee instability, right",8997
migraines (headaches),9007
iron deficiency anemia,8981
generalized anxiety disorder (GAD),8989
hearing loss,3140
"hallux rigidus (big toe arthritis), bilateral",8994
"bunions (hallux valgus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
epididymitis,8975
"carpal tunnel syndrome, bilateral",9006
"shoulder impingement syndrome, bilateral",9002
"shoulder strain, left",9002
tinnitus (ringing or hissing in ears),3140
depression (major depressive disorder),8989
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
lower back strain (lumbosacral strain),8998
middle back strain (thoracic strain),8998
neck strain (cervical strain),8999
generalized anxiety disorder (GAD),8989
"metatarsalgia (pain in ball of foot), bilateral",8994
"visual impairment, including blurry vision, blindness and double vision",8974
chronic fatigue syndrome,8986
"knee strain or sprain, bilateral",8997
migraines (headaches),9007
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"spinal arthritis, neck",8999
hypertension (high blood pressure),8979
asthma,9012
erectile dysfunction (ED),8975
sleep apnea,9012
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
unmapped contention text ['knee degenerative arthritis osteoarthritis knee'],8997
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
neck strain (cervical strain),8999
"shoulder strain, left",9002
lower back strain (lumbosacral strain),8998
"hip sprain, bilateral",8996
"knee strain or sprain, bilateral",8997
"flatfoot (pes planus), bilateral",8994
unmapped contention text ['stomach'],8968
migraines (headaches),9007
urinary incontinence (loss of bladder control),8975
fecal incontinence (loss of bowel control),8968
hypertension (high blood pressure),8979
"kidney cancer (renal cancer), left",8935
lung cancer,1230
sleep apnea,9012
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006
asthma,9012
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
sleep apnea,9012
PTSD,8989
EPILEPSY,9007
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006
congestive heart failure (CHF),8979
Migraines,9007
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006
"scars, head, face or neck",9014
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
bipolar disorder,8989
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
unmapped contention text ['knee'],8997
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006
chronic sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
depression,8989
"glaucoma, left",8974
Leg Condition - Heart/Veins/Arteries,8987
anxiety condition,8989
"shoulder condition, bilateral",9002
"hip condition, bilateral",8996
hypertension,8979
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
"radiculopathy, right lower extremities",8998
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
hearing loss,3140
"hallux rigidus (big toe arthritis), bilateral",8994
"bunions (hallux valgus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
iron deficiency anemia,8981
generalized anxiety disorder (GAD),8989
GERD (gastroesophageal reflux disease),8968
"temporomandibular disorder, including TMJ",249481
hyperhidrosis (excessive sweating),9016
irritable bowel syndrome (IBS),8968
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
epididymitis,8975
"carpal tunnel syndrome, bilateral",9006
"shoulder impingement syndrome, bilateral",9002
"shoulder strain, left",9002
tinnitus (ringing or hissing in ears),3140
"scars, head, face or neck",9014
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"spinal arthritis, neck",8999
hypertension (high blood pressure),8979
asthma,9012
erectile dysfunction (ED),8975
sleep apnea,9012
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
unmapped contention text ['knee degenerative arthritis osteoarthritis knee'],8997
bipolar disorder,8989
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
unmapped contention text ['knee'],8997
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
"scars, head, face or neck",9014
bipolar disorder,8989
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
unmapped contention text ['knee'],8997
unmapped contention text ['diabetes type'],8973
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
iron deficiency anemia,8981
generalized anxiety disorder (GAD),8989
hearing loss,3140
"hallux rigidus (big toe arthritis), bilateral",8994
"bunions (hallux valgus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
unmapped contention text ['knee'],8997
bipolar disorder,8989
"scars, head, face or neck",9014
epididymitis,8975
"carpal tunnel syndrome, bilateral",9006
"shoulder impingement syndrome, bilateral",9002
"shoulder strain, left",9002
tinnitus (ringing or hissing in ears),3140
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
"flatfoot (pes planus), bilateral",8994
unmapped contention text ['knee'],8997
bipolar disorder,8989
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"spinal arthritis, neck",8999
hypertension (high blood pressure),8979
asthma,9012
erectile dysfunction (ED),8975
sleep apnea,9012
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
unmapped contention text ['knee degenerative arthritis osteoarthritis knee'],8997
"scars, head, face or neck",9014
hearing loss,3140
"hallux rigidus (big toe arthritis), bilateral",8994
"bunions (hallux valgus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
"ankle sprain, left",8991
middle back strain (thoracic strain),8998
"rotator cuff tear, right",9002
lower back strain (lumbosacral strain),8998
hearing loss,3140
iron deficiency anemia,8981
tinnitus (ringing or hissing in ears),3140
generalized anxiety disorder (GAD),8989
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
congestive heart failure (CHF),8979
Migraines,9007
hearing loss,3140
"hallux rigidus (big toe arthritis), bilateral",8994
"bunions (hallux valgus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
iron deficiency anemia,8981
generalized anxiety disorder (GAD),8989
epididymitis,8975
"carpal tunnel syndrome, bilateral",9006
"shoulder impingement syndrome, bilateral",9002
"shoulder strain, left",9002
tinnitus (ringing or hissing in ears),3140
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"spinal arthritis, neck",8999
hypertension (high blood pressure),8979
asthma,9012
erectile dysfunction (ED),8975
sleep apnea,9012
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
unmapped contention text ['knee degenerative arthritis osteoarthritis knee'],8997
hearing loss,3140
"hallux rigidus (big toe arthritis), bilateral",8994
"bunions (hallux valgus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
iron deficiency anemia,8981
generalized anxiety disorder (GAD),8989
chronic bronchitis,9012
"chronic rhinitis, allergic or non-allergic",9012
sleep apnea,9012
chronic sinusitis,9012
epididymitis,8975
"carpal tunnel syndrome, bilateral",9006
"shoulder impingement syndrome, bilateral",9002
"shoulder strain, left",9002
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
sleep apnea,9012
"ankylosis in ankle, bilateral",8991
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"spinal arthritis, neck",8999
hypertension (high blood pressure),8979
asthma,9012
erectile dysfunction (ED),8975
sleep apnea,9012
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
unmapped contention text ['knee degenerative arthritis osteoarthritis knee'],8997
"radiculopathy, right lower extremities",8998
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
"tendonitis (tendinitis) in knee, right",8997
"intervertebral disc syndrome (IVDS), back",8998
"spinal arthritis, back",8998
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
"degenerative arthritis (osteoarthritis) in knee, left",8997
"degenerative arthritis (osteoarthritis) in knee, right",8997
"ankylosis in knee, left",8997
"ankylosis in knee, right",8997
"knee instability, bilateral",8997
"patellofemoral pain syndrome, bilateral",8997
"radiculopathy, bilateral lower extremities",8998
urinary incontinence (loss of bladder control),8975
"greater trochanteric pain syndrome (lateral hip pain), left",8996
"greater trochanteric pain syndrome (lateral hip pain), right",8996
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
"ankylosis in hip, bilateral",8996
"bursitis in hip, bilateral",8996
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996
chronic sinusitis,9012
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
adjustment disorder,8989
unmapped contention text ['ankle'],8991
"degenerative arthritis (osteoarthritis) in ankle, right",8991
"tendonitis (tendinitis) in ankle, right",8991
"degenerative arthritis (osteoarthritis) in ankle, left",8991
neck strain (cervical strain),8999
"hearing loss, other than tinnitus",3140
tinnitus (ringing or hissing in ears),3140
GERD (gastroesophageal reflux disease),8968
irritable bowel syndrome (IBS),8968
"intervertebral disc syndrome (IVDS), neck",8999
cervical spinal stenosis (narrowing of spinal canal in neck),8999
"ankle sprain, left",8991
"spinal arthritis, neck",8999
"PTSD (post-traumatic stress disorder), non-combat-related",8989
sleep apnea,9012
migraines (headaches),9007
asthma,9012
hemorrhoids,8968
"tendonitis (tendinitis) in ankle, left",8991
"radiculopathy, bilateral upper extremities",8999
epididymitis,8975
"carpal tunnel syndrome, bilateral",9006
"shoulder impingement syndrome, bilateral",9002
"shoulder strain, left",9002
tinnitus (ringing or hissing in ears),3140
GERD (gastroesophageal reflux disease),8968
"temporomandibular disorder, including TMJ",249481
hyperhidrosis (excessive sweating),9016
irritable bowel syndrome (IBS),8968
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"spinal arthritis, neck",8999
hypertension (high blood pressure),8979
asthma,9012
erectile dysfunction (ED),8975
sleep apnea,9012
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
unmapped contention text ['knee degenerative arthritis osteoarthritis knee'],8997
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
congestive heart failure (CHF),8979
Migraines,9007
GERD (gastroesophageal reflux disease),8968
"foot fracture (tarsal or metatarsal fracture), right",8994
"degenerative arthritis (osteoarthritis) in hip, left",8996
"visual impairment, including blurry vision, blindness and double vision",8974
tinnitus (ringing or hissing in ears),3140
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
"radiculopathy, bilateral lower extremities",8998
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
depression (major depressive disorder),8989
migraines (headaches),9007
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"claw foot (pes cavus), bilateral",8994
athlete's foot (tinea pedis),9016
erectile dysfunction (ED),8975
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
congestive heart failure (CHF),8979
Migraines,9007
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
"knee instability, left",8997
"knee instability, right",8997
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
congestive heart failure (CHF),8979
Migraines,9007
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
GERD (gastroesophageal reflux disease),8968
"temporomandibular disorder, including TMJ",249481
hyperhidrosis (excessive sweating),9016
irritable bowel syndrome (IBS),8968
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
"radiculopathy, right lower extremities",8998
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
congestive heart failure (CHF),8979
Migraines,9007
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back strain (lumbosacral strain),8998
adjustment disorder,8989
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
Raynaud's disease,8979
GERD (gastroesophageal reflux disease),8968
"temporomandibular disorder, including TMJ",249481
hyperhidrosis (excessive sweating),9016
irritable bowel syndrome (IBS),8968
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
heart attack (myocardial infarction),8971
"knee strain or sprain, right",8997
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['diabetes type'],8973
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
GERD (gastroesophageal reflux disease),8968
"temporomandibular disorder, including TMJ",249481
hyperhidrosis (excessive sweating),9016
irritable bowel syndrome (IBS),8968
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"radiculopathy, right lower extremities",8998
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
GERD (gastroesophageal reflux disease),8968
"temporomandibular disorder, including TMJ",249481
hyperhidrosis (excessive sweating),9016
irritable bowel syndrome (IBS),8968
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
Depression,8989
unmapped contention text ['anxiety'],8989
unmapped contention text ['neck'],8999
"radiculopathy, right lower extremities",8998
GERD (gastroesophageal reflux disease),8968
"hearing loss, other than tinnitus",3140
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
"chronic rhinitis, allergic or non-allergic",9012
sleep apnea,9012
"radiculopathy, right lower extremities",8998
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
unmapped contention text ['diabetes type'],8973
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['diabetes type'],8973
PTSD (post-traumatic stress disorder),8989
chronic sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
GERD (gastroesophageal reflux disease),8968
"radiculopathy, bilateral lower extremities",8998
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
depression (major depressive disorder),8989
migraines (headaches),9007
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"claw foot (pes cavus), bilateral",8994
athlete's foot (tinea pedis),9016
erectile dysfunction (ED),8975
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['diabetes type'],8973
PTSD (post-traumatic stress disorder),8989
"foot fracture (tarsal or metatarsal fracture), right",8994
"degenerative arthritis (osteoarthritis) in hip, left",8996
"visual impairment, including blurry vision, blindness and double vision",8974
tinnitus (ringing or hissing in ears),3140
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
depression,8989
"glaucoma, left",8974
Leg Condition - Heart/Veins/Arteries,8987
anxiety condition,8989
"shoulder condition, bilateral",9002
"hip condition, bilateral",8996
hypertension,8979
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['irritable bowel syndrome ibs'],8968
unmapped contention text ['migraines headaches'],9007
unmapped contention text ['diabetes type'],8973
PTSD (post-traumatic stress disorder),8989
"knee instability, left",8997
"knee instability, right",8997
PTSD (post-traumatic stress disorder),8989
GERD (gastroesophageal reflux disease),8968
"radiculopathy, bilateral lower extremities",8998
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
depression (major depressive disorder),8989
migraines (headaches),9007
"flatfoot (pes planus), bilateral",8994
lower back strain (lumbosacral strain),8998
middle back strain (thoracic strain),8998
neck strain (cervical strain),8999
generalized anxiety disorder (GAD),8989
"metatarsalgia (pain in ball of foot), bilateral",8994
"visual impairment, including blurry vision, blindness and double vision",8974
chronic fatigue syndrome,8986
"knee strain or sprain, bilateral",8997
migraines (headaches),9007
"foot fracture (tarsal or metatarsal fracture), right",8994
"degenerative arthritis (osteoarthritis) in hip, left",8996
"visual impairment, including blurry vision, blindness and double vision",8974
tinnitus (ringing or hissing in ears),3140
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
GERD (gastroesophageal reflux disease),8968
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"claw foot (pes cavus), bilateral",8994
athlete's foot (tinea pedis),9016
erectile dysfunction (ED),8975
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"radiculopathy, bilateral lower extremities",8998
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
depression (major depressive disorder),8989
migraines (headaches),9007
"foot fracture (tarsal or metatarsal fracture), right",8994
"degenerative arthritis (osteoarthritis) in hip, left",8996
"visual impairment, including blurry vision, blindness and double vision",8974
tinnitus (ringing or hissing in ears),3140
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
"knee instability, left",8997
"knee instability, right",8997
sleep apnea,9012
GERD (gastroesophageal reflux disease),8968
"radiculopathy, bilateral lower extremities",8998
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
depression (major depressive disorder),8989
migraines (headaches),9007
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"claw foot (pes cavus), bilateral",8994
athlete's foot (tinea pedis),9016
erectile dysfunction (ED),8975
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"foot fracture (tarsal or metatarsal fracture), right",8994
"degenerative arthritis (osteoarthritis) in hip, left",8996
"visual impairment, including blurry vision, blindness and double vision",8974
tinnitus (ringing or hissing in ears),3140
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
GERD (gastroesophageal reflux disease),8968
"radiculopathy, bilateral lower extremities",8998
lower back sprain (lumbosacral sprain),8998
"knee strain or sprain, left",8997
depression (major depressive disorder),8989
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
"foot fracture (tarsal or metatarsal fracture), right",8994
"degenerative arthritis (osteoarthritis) in hip, left",8996
"visual impairment, including blurry vision, blindness and double vision",8974
tinnitus (ringing or hissing in ears),3140
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
"knee instability, left",8997
"knee instability, right",8997
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"claw foot (pes cavus), bilateral",8994
athlete's foot (tinea pedis),9016
erectile dysfunction (ED),8975
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
"ankle sprain, left",8991
