Main condition/term,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Location options,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term updated,Term removed,Autosuggestion updated,Classification updated,Current Notes,Proposed update to DC to Classification mapping March 2024,Comments - v1.0 review,,lookup CC in DC mapping,CC matches CC used in DC to CC mapping,lookup DC code,lookup DC name,lookup DC code,lookup by name,lookup DC code,lookup DC name,,
cyclothymic disorder (mild bipolar disorder),cyclothymic disorder,mild bipolar disorder,,,,,,,,,,,cyclothymic disorder (mild bipolar disorder),,,,,,8989,Mental Disorders,9431,cyclothymic disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9431,cyclothymic disorder,No Match,No Match,No Match,No Match,,9431
depression (major depressive disorder),depression,major depressive disorder,,,depression,depressive neurosis,dysthymic disorder,major depression,,,,,depression (major depressive disorder),,,,,,8989,Mental Disorders,9434,major depressive disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9434,major depressive disorder,No Match,No Match,No Match,No Match,,9434
generalized anxiety disorder (GAD),generalized anxiety disorder,GAD,,,anxiety condition,,,,,,,,generalized anxiety disorder (GAD),,,,,,8989,Mental Disorders,9400,generalized anxiety disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9400,generalized anxiety disorder,No Match,No Match,No Match,No Match,,9400
illness anxiety disorder (hypochondria),illness anxiety disorder,hypochondria,,,,,,,,,,,illness anxiety disorder (hypochondria),,,,,,8989,Mental Disorders,9425,hypochondriasis,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9425,hypochondriasis,No Match,No Match,No Match,No Match,,9425
obsessive compulsive disorder (OCD),obsessive compulsive disorder,OCD,,,,,,,,,,,obsessive compulsive disorder (OCD),,,,,,8989,Mental Disorders,9404,obsessive compulsive disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9404,obsessive compulsive disorder,No Match,No Match,No Match,No Match,,9404
panic disorder,,,,,,,,,,,,,panic disorder,,,,,,8989,Mental Disorders,9412,panic disorder and/or agoraphobia,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,No Match,No Match,9412,panic disorder and/or agoraphobia,No Match,No Match,,9412
persistent depressive disorder (dysthymic disorder),persistent depressive disorder,dysthymic disorder,,,,,,,,,,,persistent depressive disorder (dysthymic disorder),,,,,,8989,Mental Disorders,9433,dysthymic disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9433,dysthymic disorder,No Match,No Match,No Match,No Match,,9433
PTSD (post-traumatic stress disorder),post-traumatic stress disorder,PTSD,,,"PTSD (post-traumatic stress disorder), combat-related","PTSD (post-traumatic stress disorder), non-combat-related",Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,Post Traumatic Stress Disorder (PTSD) Personal Trauma - Mental Disorders,PTSD personal trauma,,,,PTSD (post-traumatic stress disorder),,,,,,8989,Mental Disorders,9411,post-traumatic stress disorder,DBQ PSYCH PTSD Initial,no,Active,Active,v1.0,v1.2,,Autosuggestion updated to remove distinction between combat/non-combat in v1.2,Contention Text Lookup v0.5,,,,,,,,,,,,,,
schizophrenia,,,,,,,,,,,,,schizophrenia,,,,,,8989,Mental Disorders,9201,schizophrenia,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9201,schizophrenia,No Match,No Match,No Match,No Match,,9201
somatic symptom disorder (SSD),somatic symptom disorder,SSD,,,,,,,,,,,somatic symptom disorder (SSD),,,,,,8989,Mental Disorders,9421,somatization disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9421,somatization disorder,No Match,No Match,No Match,No Match,,9421
Musculoskeletal - Amputations,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
amputation - above knee,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"amputation - arm, forearm, hand",,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
amputation - below knee,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
amputation - foot (feet),amputation foot,amputation feet,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
amputation - leg(s),amputation leg,amputation legs,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
amputation - multiple fingers,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
amputation - single finger,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Musculoskeletal - Ankle,,,,,ankle condition,,,,,,,"left, right, bilateral","ankle condition, right","ankle condition, left","ankle condition, bilateral",,,,8991,Musculoskeletal - Ankle,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ankle replacement (ankle arthroplasty),ankle arthroplasty,ankle replacement,,,,,,,,,,"left, right, bilateral","ankle replacement (ankle arthroplasty), right","ankle replacement (ankle arthroplasty), left","ankle replacement (ankle arthroplasty), bilateral",,,,8991,Musculoskeletal - Ankle,5056,ankle replacement,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,,,8991,yes,5056,ankle replacement,No Match,No Match,No Match,No Match,,5056
ankle sprain,,,,,ankle sprain,,,,,,,"left, right, bilateral","ankle sprain, right","ankle sprain, left","ankle sprain, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,,,,,,,,,,,,Multiple
ankle strain,,,,,,,,,,,,,,,,,,,8991,Musculoskeletal - Ankle,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ankylosis in ankle,,,,,,,,,,,,"left, right, bilateral","ankylosis in ankle, right","ankylosis in ankle, left","ankylosis in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,,,No Match,no,5270,ankylosis of ankle,No Match,No Match,No Match,No Match,,Multiple
astragalectomy or talectomy (removal of talus bone in ankle),astragalectomy,talectomy,removal of talus bone in ankle,,,,,,,,,"left, right, bilateral","astragalectomy or talectomy (removal of talus bone in ankle), right","astragalectomy or talectomy (removal of talus bone in ankle), left","astragalectomy or talectomy (removal of talus bone in ankle), bilateral",,,,8991,Musculoskeletal - Ankle,5274,astragalectomy,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,ADDRESSED - (TS) do we need right/left/bilateral for this one?,,8991,yes,5274,astragalectomy,No Match,No Match,No Match,No Match,,5274
bursitis in ankle,,,,,,,,,,,,"left, right, bilateral","bursitis in ankle, right","bursitis in ankle, left","bursitis in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
degenerative arthritis (osteoarthritis) in ankle,degenerative arthritis in ankle,osteoarthritis in ankle,,,,,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in ankle, right","degenerative arthritis (osteoarthritis) in ankle, left","degenerative arthritis (osteoarthritis) in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
post-traumatic arthritis in ankle,,,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in ankle, right","post-traumatic arthritis in ankle, left","post-traumatic arthritis in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendonitis (tendinitis) in ankle,tendinitis in ankle,tendonitis in ankle,,,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in ankle, right","tendonitis (tendinitis) in ankle, left","tendonitis (tendinitis) in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal - Arthritis,,,,,,,,,,,,,,,,,,,8992,Musculoskeletal - Arthritis,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
gonococcal arthritis,,,,,,,,,,,,,gonococcal arthritis,,,,,,8992,Musculoskeletal - Arthritis,5004,gonococcal arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,,,,8992,yes,5004,gonococcal arthritis,No Match,No Match,No Match,No Match,,5004
pneumococcal arthritis,,,,,,,,,,,,,pneumococcal arthritis,,,,,,8992,Musculoskeletal - Arthritis,5005,pneumococcal arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,,,,8992,yes,5005,pneumococcal arthritis,No Match,No Match,No Match,No Match,,5005
poststreptococcal arthritis,,,,,,,,,,,,,poststreptococcal arthritis,,,,,,8992,Musculoskeletal - Arthritis,5008,poststreptococcal arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,,,,8992,yes,5008,poststreptococcal arthritis,No Match,No Match,No Match,No Match,,5008
rheumatoid arthritis,,,,,rheumatism,,,,,,,,rheumatoid arthritis,,,,,,8992,Musculoskeletal - Arthritis,5002,rheumatoid arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,,,,8992,yes,5002,rheumatoid arthritis,No Match,No Match,No Match,No Match,,5002
syphilitic arthritis,,,,,,,,,,,,,syphilitic arthritis,,,,,,8992,Musculoskeletal - Arthritis,5007,syphilitic arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,,,,8992,yes,5007,syphilitic arthritis,No Match,No Match,No Match,No Match,,5007
typhoid arthritis,,,,,,,,,,,,,typhoid arthritis,,,,,,8992,Musculoskeletal - Arthritis,5006,typhoid arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,,,,8992,yes,5006,typhoid arthritis,No Match,No Match,No Match,No Match,,5006
Musculoskeletal - Bones,,,,,,,,,,,,,,,,,,,249482,Musculoskeletal - Bones,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
costochondritis,,,,,,,,,,,,,costochondritis,,,,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,Contention Text Lookup v0.5,,,,,249482,yes,No Match,No Match,5321,injury to muscles of respiration,No Match,No Match,,5321
rib fracture,,,,,,,,,,,,"left, right, bilateral","rib fracture, right","rib fracture, left","rib fracture, bilateral",,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,Contention Text Lookup v0.5,,,,,249482,yes,No Match,No Match,No Match,No Match,No Match,No Match,,5321
rib removal,,,,,,,,,,,,,rib removal,,,,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,,,,,249482,yes,5297,removal of rib(s),No Match,No Match,No Match,No Match,,5297
tailbone (coccyx) removal,tailbone removal,coccyx removal,,,,,,,,,,,tailbone (coccyx) removal,,,,,,249482,Musculoskeletal - Bones,5298,removal of coccyx (tailbone),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,,,,,249482,yes,5298,removal of coccyx (tailbone),No Match,No Match,No Match,No Match,,5298
Tietze syndrome,,,,,,,,,,,,,Tietze syndrome,,,,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,,,,,249482,yes,5321,injury to muscles of respiration,No Match,No Match,No Match,No Match,,5321
ankylosis in elbow,,,,,,,,,,,,"left, right, bilateral","ankylosis in elbow, right","ankylosis in elbow, left","ankylosis in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,No Match,no,5205,ankylosis of the elbow,No Match,No Match,No Match,No Match,,Multiple
bursitis in elbow,,,,,,,,,,,,"left, right, bilateral","bursitis in elbow, right","bursitis in elbow, left","bursitis in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
degenerative arthritis (osteoarthritis) in elbow,degenerative arthritis in elbow,osteoarthritis in elbow,,,,,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in elbow, right","degenerative arthritis (osteoarthritis) in elbow, left","degenerative arthritis (osteoarthritis) in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
elbow replacement (elbow arthroplasty),elbow replacement,elbow arthroplasty,,,,,,,,,,"left, right, bilateral","elbow replacement (elbow arthroplasty), right","elbow replacement (elbow arthroplasty), left","elbow replacement (elbow arthroplasty), bilateral",,,,8993,Musculoskeletal - Elbow,5052,elbow replacement,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,8993,yes,5052,elbow replacement,No Match,No Match,No Match,No Match,,5052
elbow sprain,,,,,,,,,,,,,,,,,,,8993,Musculoskeletal - Elbow,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
elbow strain,,,,,,,,,,,,,,,,,,,8993,Musculoskeletal - Elbow,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
golfer's elbow (medial epicondylitis),golfer's elbow,medial epicondylitis,,,,,,,,,,"left, right, bilateral","golfer's elbow (medial epicondylitis), right","golfer's elbow (medial epicondylitis), left","golfer's elbow (medial epicondylitis), bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal - Elbow,,,,,,,,,,,,"left, right, bilateral","elbow condition, bilateral","elbow condition, left","elbow condition, right",,,,8993,Musculoskeletal - Elbow,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
post-traumatic arthritis in elbow,,,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in elbow, right","post-traumatic arthritis in elbow, left","post-traumatic arthritis in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendonitis (tendinitis) in elbow,tendonitis in elbow,tendinitis in elbow,,,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in elbow, right","tendonitis (tendinitis) in elbow, left","tendonitis (tendinitis) in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tennis elbow (lateral epicondylitis),tennis elbow,lateral epicondylitis,,,,,,,,,,"left, right, bilateral","tennis elbow (lateral epicondylitis), right","tennis elbow (lateral epicondylitis), left","tennis elbow (lateral epicondylitis), bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Musculoskeletal - Foot,,,,,,,,,,,,"left, right, bilateral","foot condition, bilateral","foot condition, left","foot condition, right",foot pain,,,8994,Musculoskeletal - Foot,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
bunions (hallux valgus),bunions,hallux valgus,,,,,,,,,,"left, right, bilateral","bunions (hallux valgus), right","bunions (hallux valgus), left","bunions (hallux valgus), bilateral",,,,8994,Musculoskeletal - Foot,5280,hallux valgus - foot,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,8994,yes,5280,hallux valgus - foot,No Match,No Match,No Match,No Match,,5280
bursitis in foot,,,,,,,,,,,,"left, right, bilateral","bursitis in foot, right","bursitis in foot, left","bursitis in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
claw foot (pes cavus),claw foot,pes cavus,,,,,,,,,,"left, right, bilateral","claw foot (pes cavus), right","claw foot (pes cavus), left","claw foot (pes cavus), bilateral",,,,8994,Musculoskeletal - Foot,5278,"claw foot (pes cavus), acquired",DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,8994,yes,5278,"claw foot (pes cavus), acquired",No Match,No Match,No Match,No Match,,5278
degenerative arthritis (osteoarthritis) in foot,degenerative arthritis in foot,osteoarthritis in foot,,,,,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in foot, right","degenerative arthritis (osteoarthritis) in foot, left","degenerative arthritis (osteoarthritis) in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
flatfoot (pes planus),flatfoot,pes planus,,,"fallen arches, bilateral","flatfoot, bilateral","flatfoot, left","flatfoot, right",,,,"left, right, bilateral","flatfoot (pes planus), right","flatfoot (pes planus), left","flatfoot (pes planus), bilateral",,,,8994,Musculoskeletal - Foot,5276,"flatfoot, acquired",DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,8994,yes,5276,"flatfoot, acquired",No Match,No Match,No Match,No Match,,5276
foot fracture (tarsal or metatarsal fracture),foot fracture,tarsal fracture,metatarsal fracture,,,,,,,,,"left, right, bilateral","foot fracture (tarsal or metatarsal fracture), right","foot fracture (tarsal or metatarsal fracture), left","foot fracture (tarsal or metatarsal fracture), bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
gout in foot,,,,,gout,,,,,,,"left, right, bilateral","gout in foot, right","gout in foot, left","gout in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
hallux rigidus (big toe arthritis),hallux rigidus,big toe arthritis,,,,,,,,,,"left, right, bilateral","hallux rigidus (big toe arthritis), right","hallux rigidus (big toe arthritis), left","hallux rigidus (big toe arthritis), bilateral",,,,8994,Musculoskeletal - Foot,5281,hallux rigidus - foot,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,8994,yes,5281,hallux rigidus - foot,No Match,No Match,No Match,No Match,,5281
hammer toe,,,,,,,,,,,,"left, right, bilateral","hammer toe, right","hammer toe, left","hammer toe, bilateral",,,,8994,Musculoskeletal - Foot,5282,hammer toe,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,8994,yes,No Match,No Match,5282,hammer toe,No Match,No Match,,5282
metatarsalgia (pain in ball of foot),metatarsalgia,pain in ball of foot,,,,,,,,,,"left, right, bilateral","metatarsalgia (pain in ball of foot), right","metatarsalgia (pain in ball of foot), left","metatarsalgia (pain in ball of foot), bilateral",,,,8994,Musculoskeletal - Foot,5279,metatarsalgia (foot pain) or Morton's disease,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,8994,yes,5279,metatarsalgia (foot pain) or Morton's disease,No Match,No Match,No Match,No Match,,5279
Morton's neuroma,,,,,Morton's disease,,,,,,,"left, right, bilateral","Morton's neuroma, right","Morton's neuroma, left","Morton's neuroma, bilateral",,,,8994,Musculoskeletal - Foot,5279,metatarsalgia (foot pain) or Morton's disease,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,8994,yes,No Match,No Match,No Match,No Match,No Match,No Match,,5279
plantar fasciitis,,,,,,,,,,,,"left, right, bilateral","plantar fasciitis, right","plantar fasciitis, left","plantar fasciitis, bilateral",,,,8994,Musculoskeletal - Foot,5269,plantar fasciitis,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,8994,yes,5269,plantar fasciitis,No Match,No Match,No Match,No Match,,5269
post-traumatic arthritis in foot,,,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in foot, right","post-traumatic arthritis in foot, left","post-traumatic arthritis in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendonitis (tendinitis) in foot,tendonitis in foot,tendinitis in foot,,,,,,,,,,"left, right, bilateral","tendonitis (tendinitis) in foot, right","tendonitis (tendinitis) in foot, left","tendonitis (tendinitis) in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
weak foot,,,,,,,,,,,,"left, right, bilateral","weak foot, right","weak foot, left","weak foot, bilateral",,,,8994,Musculoskeletal - Foot,5277,"weak foot condition, bilateral",DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,"v1.0, v1.2",,,,,Added right/left variations in v1.2,,,,8994,yes,No Match,No Match,No Match,No Match,No Match,No Match,,5277
Musculoskeletal - Hand,,,,,,,,,,,,"left, right, bilateral","hand condition, bilateral","hand condition, left","hand condition, right",,,,8995,Musculoskeletal - Hand,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ankylosis in hand or fingers,ankylosis in hand,ankylosis in fingers,,,,,,,,,,"left, right, bilateral","ankylosis in hand or fingers, right","ankylosis in hand or fingers, left","ankylosis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,5216,unfavorable ankylosis of one hand,No Match,No Match,No Match,No Match,,Multiple
Boutonniere deformity in fingers,,,,,,,,,,,,"left, right, bilateral","Boutonniere deformity in fingers, right","Boutonniere deformity in fingers, left","Boutonniere deformity in fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
bursitis in hand or fingers,bursitis in hand,bursitis in fingers,,,,,,,,,,"left, right, bilateral","bursitis in hand or fingers, right","bursitis in hand or fingers, left","bursitis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
degenerative arthritis (osteoarthritis) in hand or fingers,degenerative arthritis in hand,osteoarthritis in hand,degenerative arthritis in fingers,osteoarthritis in fingers,,,,,,,,"left, right, bilateral","degenerative arthritis (osteoarthritis) in hand or fingers, right","degenerative arthritis (osteoarthritis) in hand or fingers, left","degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Dupuytren's contracture (abnormal thickening of tissues in palm of hand),Dupuytren's contracture,abnormal thickening of tissues in palm of hand,,,,,,,,,,"left, right, bilateral","Dupuytren's contracture (abnormal thickening of tissues in palm of hand), right","Dupuytren's contracture (abnormal thickening of tissues in palm of hand), left","Dupuytren's contracture (abnormal thickening of tissues in palm of hand), bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
gamekeeper's thumb,,,,,,,,,,,,"left, right, bilateral","gamekeeper's thumb, right","gamekeeper's thumb, left","gamekeeper's thumb, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
mallet finger,,,,,,,,,,,,"left, right, bilateral","mallet finger, right","mallet finger, left","mallet finger, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
post-traumatic arthritis in hand or fingers,post-traumatic arthritis in hand,post-traumatic arthritis in fingers,,,,,,,,,,"left, right, bilateral","post-traumatic arthritis in hand or fingers, right","post-traumatic arthritis in hand or fingers, left","post-traumatic arthritis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
tendinosis in hand or fingers,tendinosis in hand,tendinosis in fingers,,,,,,,,,,"left, right, bilateral","tendinosis in hand or fingers, right","tendinosis in hand or fingers, left","tendinosis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
